2025-04-29 21:11:43.576 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-04-29 21:11:43.587 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-29 21:11:43.587 | INFO  | thread=restartedMain | method=prepareWebApplicationContext | traceId= | userId= | serviceName= | appName= | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 323 ms
2025-04-29 21:11:43.598 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Starting...
2025-04-29 21:11:43.600 | INFO  | thread=restartedMain | method=checkFailFast | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.pool.HikariPool - HikariPool-4 - Added connection conn440: url=jdbc:h2:mem:flypayportal user=SA
2025-04-29 21:11:43.601 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Start completed.
2025-04-29 21:11:43.601 | INFO  | thread=restartedMain | method=logDataSources | traceId= | userId= | serviceName= | appName= | o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:flypayportal'
2025-04-29 21:11:43.622 | INFO  | thread=restartedMain | method=logPersistenceUnitInformation | traceId= | userId= | serviceName= | appName= | o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-29 21:11:43.623 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-29 21:11:43.632 | INFO  | thread=restartedMain | method=addTransformer | traceId= | userId= | serviceName= | appName= | o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-29 21:11:43.700 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-29 21:11:43.705 | INFO  | thread=restartedMain | method=buildNativeEntityManagerFactory | traceId= | userId= | serviceName= | appName= | o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-29 21:11:43.792 | INFO  | thread=restartedMain | method=configure | traceId= | userId= | serviceName= | appName= | o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsImp
2025-04-29 21:11:43.796 | INFO  | thread=restartedMain | method=destroy | traceId= | userId= | serviceName= | appName= | o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-29 21:11:43.797 | INFO  | thread=restartedMain | method=close | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown initiated...
2025-04-29 21:11:43.805 | INFO  | thread=restartedMain | method=close | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown completed.
2025-04-29 21:11:43.806 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-04-29 21:11:43.812 | INFO  | thread=restartedMain | method=logMessage | traceId= | userId= | serviceName= | appName= | o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-04-29 21:11:48.701 | INFO  | thread=background-preinit | method=<clinit> | traceId= | userId= | serviceName= | appName= | o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-04-29 21:11:48.773 | INFO  | thread=restartedMain | method=logStarting | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - Starting FlypayportalApplication using Java 24 with PID 89582 (/Users/vin.uppinkudru/flypayportal/target/classes started by vin.uppinkudru in /Users/vin.uppinkudru/flypayportal)
2025-04-29 21:11:48.774 | INFO  | thread=restartedMain | method=logStartupProfileInfo | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - The following 1 profile is active: "dev"
2025-04-29 21:11:48.846 | INFO  | thread=restartedMain | method=logTo | traceId= | userId= | serviceName= | appName= | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-29 21:11:48.846 | INFO  | thread=restartedMain | method=logTo | traceId= | userId= | serviceName= | appName= | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-29 21:11:50.088 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-29 21:11:50.189 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85 ms. Found 2 JPA repository interfaces.
2025-04-29 21:11:51.006 | INFO  | thread=restartedMain | method=initialize | traceId= | userId= | serviceName= | appName= | o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-29 21:11:51.024 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-29 21:11:51.027 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-29 21:11:51.028 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-04-29 21:11:51.096 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-29 21:11:51.097 | INFO  | thread=restartedMain | method=prepareWebApplicationContext | traceId= | userId= | serviceName= | appName= | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2249 ms
2025-04-29 21:11:51.143 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-29 21:11:51.443 | INFO  | thread=restartedMain | method=checkFailFast | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:flypayportal user=SA
2025-04-29 21:11:51.446 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-29 21:11:51.463 | INFO  | thread=restartedMain | method=logDataSources | traceId= | userId= | serviceName= | appName= | o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:flypayportal'
2025-04-29 21:11:51.616 | INFO  | thread=restartedMain | method=logPersistenceUnitInformation | traceId= | userId= | serviceName= | appName= | o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-29 21:11:51.728 | INFO  | thread=restartedMain | method=logVersion | traceId= | userId= | serviceName= | appName= | org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-04-29 21:11:51.796 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-29 21:11:52.266 | INFO  | thread=restartedMain | method=addTransformer | traceId= | userId= | serviceName= | appName= | o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-29 21:11:53.517 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-29 21:11:53.619 | INFO  | thread=restartedMain | method=buildNativeEntityManagerFactory | traceId= | userId= | serviceName= | appName= | o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-29 21:11:54.034 | INFO  | thread=restartedMain | method=<clinit> | traceId= | userId= | serviceName= | appName= | o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-29 21:11:54.639 | INFO  | thread=restartedMain | method=configure | traceId= | userId= | serviceName= | appName= | o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsImp
2025-04-29 21:11:54.651 | INFO  | thread=restartedMain | method=destroy | traceId= | userId= | serviceName= | appName= | o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-29 21:11:54.660 | INFO  | thread=restartedMain | method=close | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-04-29 21:11:54.663 | INFO  | thread=restartedMain | method=close | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-04-29 21:11:54.667 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-04-29 21:11:54.693 | INFO  | thread=restartedMain | method=logMessage | traceId= | userId= | serviceName= | appName= | o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-04-29 21:12:27.851 | INFO  | thread=restartedMain | method=main | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - Starting Flypay Portal Application
2025-04-29 21:12:27.886 | INFO  | thread=restartedMain | method=logStarting | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - Starting FlypayportalApplication using Java 24 with PID 6517 (/Users/vin.uppinkudru/flypayportal/target/classes started by vin.uppinkudru in /Users/vin.uppinkudru/flypayportal)
2025-04-29 21:12:27.886 | INFO  | thread=restartedMain | method=logStartupProfileInfo | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - The following 1 profile is active: "dev"
2025-04-29 21:12:28.079 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-29 21:12:28.093 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 2 JPA repository interfaces.
2025-04-29 21:12:28.181 | INFO  | thread=restartedMain | method=initialize | traceId= | userId= | serviceName= | appName= | o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-29 21:12:28.183 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-29 21:12:28.183 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardService - Starting service [Tomcat]
