2025-04-30 12:29:30.852 | INFO  | thread=http-nio-8080-exec-1 | method=log | traceId= | userId= | serviceName= | appName= | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-30 12:29:30.852 | INFO  | thread=http-nio-8080-exec-1 | method=initServletBean | traceId= | userId= | serviceName= | appName= | o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-30 12:29:30.854 | INFO  | thread=http-nio-8080-exec-1 | method=initServletBean | traceId= | userId= | serviceName= | appName= | o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-04-30 12:29:30.858 | INFO  | thread=http-nio-8080-exec-1 | method=doFilterInternal | traceId=9a6dd133-1b85-4693-856a-8cf2c2841f55 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:29:41.963 | INFO  | thread=http-nio-8080-exec-2 | method=doFilterInternal | traceId=c10e9825-cb74-4720-b0d0-0c2df5e4f649 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:31:04.044 | INFO  | thread=http-nio-8080-exec-4 | method=doFilterInternal | traceId=7f2981e8-19c3-4825-a3b0-5f4437f8fb98 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:31:30.772 | INFO  | thread=http-nio-8080-exec-5 | method=doFilterInternal | traceId=d796f980-edc4-41b3-ad57-92742b882e83 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:31:30.851 | INFO  | thread=http-nio-8080-exec-6 | method=doFilterInternal | traceId=d4b13e38-db1e-48b7-9f66-7b152ab80e35 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:31:30.854 | INFO  | thread=http-nio-8080-exec-7 | method=doFilterInternal | traceId=6af4c0bc-7fd8-4a49-8e10-959ad73ee3db | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
2025-04-30 12:31:30.856 | INFO  | thread=http-nio-8080-exec-10 | method=doFilterInternal | traceId=86b56a57-0b19-4052-b2a4-6f4591f0d9b9 | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
